SPECIES,Genus,sp,species_name
GENI PIL,,,Genista pilosa
GENI TIN,,,Genista tinctoria
GENT PUR,,,Gentiana purpurea
GENTCILI,,,Gentianella ciliata
GENTIAAZ,,,GENTIANA SP.
GERA NOD,Geranium,nodosum,Geranium nodosum
GERA PHA,,,Geranium pha
GERA ROB,,,Geranium robertianum
GERA SYL,,,Geranium sylvaticum
GERA VER,Geranium,versicolor,Geranium versicolor
GEUM RIV,,,Geum rivale
GEUM URB,,,Geum urbanum
GOOD REP,,,Goodyera repens
GROD DIK,,,
GYMN CON,,,Gymnadenia conopsea
GYMN DRY,,,Gymnocarpium dryopteris
GYMN ROB,,,Gymnocarpium robertianum
HE SP.SP,,,Heracleum sphondylium
HEDE HEL,,,Hedera helix
HELL BOC,Helleborus,bocconei,Helleborus bocconei
HELL FOE,,,Helleborus foetidus
HELL NIG,,,Helleborus niger
HELL VIR,,,Helleborus viridis
HEPA NOB,,,Hepatica nobilis
HERA SPH,,,Heracleum sphondylium
HERAUAU,,,Heracleum austriacum
HIEBIFI,,,Hieracium bifidum
HIEPORR,,,Hieracium porrifolium
HIER MUR,,,Hieracium murorum
HIER PRE,Hieracium,prenanthoides group,Hieracium prenanthoides group
HIER RAC,Hieracium,racemosum group,Hieracium racemosum group
HIER SYL,,,Hieracium sylvaticum
HIER UMB,,,Hieracium umbellatum
HIER VTM,,,Hieracium vulgatum
HIER/GLAI,,,Hieracium glaucinum
HIER/MAC,,,Hieracium maculatum
HIER/PLA,,,Hieracium platyphyllum
HIER/RAC,,,Hieracium racemosum
HIER/SAB,,,Hieracium sabaudum
HIER/SIL,,,Hieracium silvaticiformia
HIER/VUL,,,Hieracium vulgatiformia
HIERACIZ,,,HIERACIUM SP.
HOLC LAN,,,Holcus lanatus
HOLC MOL,,,Holcus mollis
HOMOALPI,,,Homogyne alpina
HORD EUR,,,Hordelymus europaeus
HORM PYR,,,Horminium pyrenaicum
HUPE SEL,,,Huperzia selago
HYPE AND,,,Hypericum androsaemum
HYPE HIR,,,Hypericum hirsutum
HYPE MAC,,,Hypericum maculatum
HYPE MON,,,Hypericum montanum
HYPE PER,,,Hypericum perforatum
HYPE PUL,,,Hypericum pulchrum
HYPERICZ,,,Hypericum sp.
HYPMAMA,,,Hypericum maculatum
HYPPEPE,,,Hypericum perforatum
ILEX AQU,,,Ilex aquifolium
IMPA NOL,,,Impatiens noli-tangere
INUL CON,,,Inula conyza
JU CO.CO,,,Juniperus communis
JUGL REG,,,Juglans regia
JUNC ART,,,Juncus articulatus
JUNC EFF,,,Juncus effusus
JUNC FIL,,,Juncus filiformis
JUNC INF,,,Juncus inflexus
JUNC TRI,,,Juncus trifidus
JUNI COM,,,Juniperus communis
KERSAXA,,,Kernera saxatilis
KNADIPS,,,Knautia dipsacifolia
KNAUDRYM,,,Knautia drymeia
LABU ALP,,,Laburnum alpinum
LABU ANA,,,Laburnum anagyroides
LACT ALP,,,Lactuca alpina
LAMI FLE,Lamium,flexuosum,Lamium flexuosum
LAMI GAL,,,Lamiastrum galeobdolon
LAMI MAC,,,Lamium maculatum
LARI DEC,,,Larix decidua
LARI EUR,,,Larix eurolepis
LASE LAT,,,Laserpitium latifolium
LATH CLA,,,
LATH LAT,,,Lathyrus latifolius
LATH LIN,,,Lathyrus linifolius
LATH NIG,,,Lathyrus niger
LATH PRA,,,Lathyrus pratensis
LATH SYL,,,Lathyrus sylvestris
LATH VEN,Lathyrus,venetus,Lathyrus venetus
LATH VER,,,Lathyrus vernus
LAUR NOB,Laurus,nobilis,Laurus nobilis
LEDU PAL,,,Ledum palustre
LEOINCA,,,Leontodon incanus
LEON HIS,,,Leontodon hispidus
LEUC ALB,,,Leucorchis albida
LEUC VUL,,,Leucanthemum vulgare
LIGU VUL,,,Ligustrum vulgare
LILI BUL,,,Lilium bulbiferum
LILI MAR,,,Lilium martagon
LINA VUL,,,Linaria vulgaris
LINARALP,,,Linaria alpina
LINN BOR,,,Linnaea borealis
LINU CAT,,,Linum catharticum
LIST COR,,,Listera cordata
LIST OVA,,,Listera ovata
LOIS PRO,,,Loiseleuria procumbens
LONALPI,,,Lonicera alpigena
LONI CAP,,,Lonicera caprifolium
LONI NIG,Lonicera,nigra,Lonicera nigra
LONI PER,,,Lonicera periclymenum
LONI XYL,,,Lonicera xylosteum
LORO HIR,,,
LOTU COR,,,Lotus corniculatus
LUZLUZI,Luzula,luzulina,Luzula luzulina
LUZU CAM,,,Luzula campestris
LUZU FOR,Luzula,forsteri,Luzula forsteri
LUZU LUZ,,,Luzula luzuloides
LUZU MUL,,,Luzula multiflora
LUZU NIV,Luzula,nivea,Luzula nivea
LUZU PIL,,,Luzula pilosa
LUZU SIE,Luzula,sieberi,Luzula sieberi
LUZU SYL,,,Luzula sylvatica
LYCH FLC,,,Lychnis flos-cuculi
LYCO ANN,,,Lycopodium annotinum
LYCO CLA,,,Lycopodium clavatum
LYCO COM,,,Lycopodium complanatum
LYCO SEL,,,Lycopodium selago
LYSI NEM,,,Lysimachia nemorum
LYSI PUN,,,Lysimachia punctata
LYSI THY,,,Lysimachia thyrsiflora
MAIABIFO,,,Maianthemum bifolium
MAJA BIF,,,Majanthemum bifolium
MALU SYL,,,Malus sylvestris
MATT STR,,,Matteuccia struthiopteris
MELA ARV,,,Melampyrum arvense
MELA CRI,,,Melampyrum cristatum
MELA PRA,,,Melampyrum pratense
MELA SYL,,,Melampyrum sylvaticum
MELAMPYZ,,,Melapyrum sp.
MELI MEL,Melittis,melissophyllum,Melittis melissophyllum
MELI NUT,,,Melica nutans
MELI UNI,,,Melica uniflora
MELMECA,,,Melitis melissophyllum
MENT LON,,,Mentha longifolia
MENY TRI,,,Menyanthes trifoliata
MERC PER,,,Mercurialis perennis
MESP GER,Mespilus,germanica,Mespilus germanica
MILI EFF,,,Milium effusum
MOEH TRI,,,Moehringia trinervia
MOEMUSC,,,Moehringia muscosa
MOLI CAE,,,Molinia caerulea
MONO HYS,,,Monotropa hypopitys
MYCE MUR,,,Mycelis muralis
MYOS ARV,,,Myosotis arvensis
MYOS NEM,,,Myosotis nemorosa
MYOS PAL,,,Myosotis palustris
MYOS SCO,,,Myosotis scorpioides
MYOS SYL,,,Myosotis sylvatica
MYRT COM,Myrtus,communis,Myrtus communis
NARD STR,,,Nardus stricta
NEOT NID,,,Neottia nidus-avis
OENA PIM,,,
OENA PIN,,,
ORCH LAT,,,
ORIG VUL,,,Origanum vulgare
OROB RET,,,Orobanche reticulata
OROBANCZ,,,Orobanche sp.
OROFLAV,,,Orobanche flava
ORTH SEC,,,Orthilia secunda
OSTR CAR,Ostrya,carpinifolia,Ostrya carpinifolia
OXAL ACE,,,Oxalis acetosella
PARI QUA,,,Paris quadrifolia
PELT SPE,,,Peltigera sp.
PETA ALB,,,Petasites albus
PETA HYB,,,Petasites hybridus
PETPARA,,,Petasites paradoxus
PEUAUST,,,Peucedanum austriacum
PEUC OST,,,Peucedanum ostruthium
PEUCCERV,,,Peucedanum cervaria
PH SP.SP,,,Phyteuma spicatum
PHEG POL,,,
PHIL LAT,Phillyrea,latifolia,Phillyrea latifolia
PHLE ALP,,,Phleum alpinum
PHLE PRA,,,Phleum pratense
PHYL CAE,,,Phyllodoce caerulea
PHYORBI,,,Phyteuma orbiculare
PHYS COR,Physospermum,cornubiense,Physospermum cornubiense
PHYT BET,Phyteuma,betonicifolium,Phyteuma betonicifolium
PHYT OVA,Phyteuma,ovatum,Phyteuma ovatum
PHYT SPI,,,Phyteuma spicatum
PICE ABI,,,Picea abies
PIMP MAJ,,,Pimpinella major
PING ALP,,,Pinguicula alpina
PING VIL,,,Pinguicula villosa
PINU CEM,,,Pinus cembra
PINU PIN,Pinus,pinaster,Pinus pinaster
PINU STR,,,Pinus strobus
PINU SYL,,,Pinus sylvestris
PLAT BIF,,,Platanthera bifolia
PLAT CHL,,,Platanthera chlorantha
PLATANT Z,,,Platanthera sp.
POA    Z,,,POA SP.
POA  ANG,,,Poa angustifolia
POA  ANN,,,Poa annua
POA  NEM,,,Poa nemoralis
POA  PRA,,,Poa pratensis
POLAMBR,,,Polygala amara ssp. brachyptera
POLCHAM,,,Polygala chamaebuxus
POLY ACU,,,Polystichum aculeatum
POLY AM,,,Polygala amara
POLY BIS,,,Polygonum bistorta
POLY LON,,,Polystichum lonchitis
POLY MUL,,,Polygonatum multiflorum
POLY ODO,,,Polygonatum odoratum
POLY SET,Polystichum,setiferum,Polystichum setiferum
POLY VER,,,Polygonatum verticillatum
POLY VIV,,,Polygonum viviparum
POLY VUE,,,Polypodium vulgare
POLYGALZ,,,Polygala sp.
POLYPODZ,,,Polypodium sp.
POLYTUMZ,,,Polygonatum sp.
POPU TRA,,,Populus tremula
POPULUSZ,,,Populus sp.
POTE ERE,,,Potentilla erecta
POTE MIC,,,Potentilla micrantha
POTE PAL,,,Potentilla palustris
POTE STE,,,Potentilla sterilis
PREN PUR,,,Prenanthes purpurea
PRIAUBO,,,Primula auricula
PRICLUS,,,Primula clusiana
PRIM ACA,,,
PRIM ELA,,,Primula elatior
PRIM VER,,,Primula veris
PRIM VUL,,,Primula vulgaris
PRUN AVI,,,Prunus avium
PRUN PAD,,,Prunus padus
PRUN SPI,,,Prunus spinosa
PRUN VUL,,,Prunella vulgaris
PRUNUS Z,,,Prunus sp.
PTER AQU,,,Pteridium aquilinum
PULKERN,,,Pulmonaria kerneri
PULM APE,,,
PULM OFF,,,Pulmonaria officinalis
PULS MON,Pulsatilla,montana,Pulsatilla montana
PYRO CHL,,,Pyrola chlorantha
PYRO MIN,,,Pyrola minor
PYRO ROT,,,Pyrola rotundifolia
PYROLA Z,,,Pyrola sp.
PYRU COM,,,Pyrus communis
PYRU PYR,,,Pyrus pyraster
PYRUS Z,,,Pyrus sp.
QUER CER,,,Quercus cerris
QUER ILE,Quercus,ilex,Quercus ilex
QUER PET,,,Quercus petraea
QUER PUB,,,Quercus pubescens
QUER PYR,,,Quercus pyrenaica
QUER ROB,,,Quercus robur
QUER RUB,,,Quercus rubra
RANU ACR,,,Ranunculus acris
RANU FIC,,,Ranunculus ficaria
RANU LAN,,,Ranunculus lanuginosus
RANU MON,,,Ranunculus monophyllus
RANU NEM,,,Ranunculus nemorosus
RANU RNS,,,Ranunculus repens
RANU SER,,,Ranunculus serpens
RANU TUB,,,Ranunculus tuberosus
RANUNCUZ,,,Ranunculus sp.
REIC*RIV,,,Viola reichenbachiana
RHAM CAT,,,Rhamnus catharticus
RHIN MIN,,,Rhinanthus minor
RHOCHAM,,,Rhodothamnus chamaecistus
RHOD FER,Rhododendron,ferrugineum,Rhododendron ferrugineum
RHOHIRS,,,Rhododendron hirsutum
RIBE UVA,,,Ribes uva-crispa
ROBI PSE,,,Robinia pseudacacia
ROSA   Z,,,ROSA SP.
ROSA CAN,,,Rosa canina
ROSA SEM,Rosa,sempervirens,Rosa sempervirens
ROSARVE,Rosa,arvensis,Rosa arvensis
ROSPEND,Rosa,pendulina,Rosa pendulina
RUBHIRT,Rubus,hirtus,Rubus hirtus
RUB HIRT,Rubus,hirtus,Rubus hirtus
RUBI PER,Rubia,peregrina,Rubia peregrina
RUBU ARC,,,Rubus arcticus
RUBU CAE,,,Rubus caesius
RUBU CHM,,,Rubus chamaemorus
RUBU IDA,,,Rubus idaeus
RUBU SAX,,,Rubus saxatilis
RUBU ULM,,,Rubus ulmifolius
RUBU/COR,,,Rubus corylifolius
RUBU/FRU,,,Rubus fruticosus
RUBUBIFR,,,Rubus bifrons
RUBUS  Z,,,Rubus sp.
RUME ALA,,,Rumex acetosella
RUME ASA,,,Rumex acetosa
RUME OBT,,,Rumex obtusifolius
RUSC ACU,Ruscus,aculeatus,Ruscus aculeatus
RUSC ACU,Ruscus,aculeatus,Ruscus aculeatus
SALAPPE,,,Salix appendiculata
SALGLAB,,,Salix glabra
SALI AUR,,,Salix aurita
SALI CAP,,,Salix caprea
SALI CIN,,,Salix cinerea
SALI GAU,,,Salix glauca
SALI LAP,,,Salix lapponum
SALI MFL,,,Salix myrsinifolia
SALI PHY,,,Salix phylicifolia
SALI SIL,,,Salix silesiaca
SALIX  Z,,,Salix sp.
SALV GLU,,,Salvia glutinosa
SAMB NIG,,,Sambucus nigra
SAMB RAC,,,Sambucus racemosa
SANI EUR,,,Sanicula europaea
SAXI CUN,Saxifraga,cuneifolia,Saxifraga cuneifolia
SAXI HIR,,,Saxifraga hirculus
SCALUCI,,,Scabiosa lucida
SCHE PAL,,,Scheuchzeria palustris
SCIL BIF,,,Scilla bifolia
SCIL LIL,,,Scilla lilio-hyacinthus
SCIR CES,,,Scirpus cespitosus
SCIR SYL,,,Scirpus sylvaticus
SCRO ALP,,,Scrophularia alpestris
SCRO NOD,,,Scrophularia nodosa
SCUT COL,Scutellaria,columnae,Scutellaria columnae
SEDU CEP,Sedum,cepaea,Sedum cepaea
SELA SEL,,,Selaginella selaginoides
SENE FUC,,,Senecio fuchsii
SENE NEM,,,Senecio nemorensis
SENE SYL,,,Senecio sylvaticus
SENGEGL,,,Senecio germanicus
SENSUBA,,,Senecio subalpinus
SERR TIN,,,Serratula tinctoria
SESL ALB,,,Sesleria albicans
SILE DIO,,,Silene dioica
SILE ITA,,,Silene italica
SILE VIR,Silene,viridiflora,Silene viridiflora
SILE VUL,,,Silene vulgaris
SMIL ASP,Smilax,aspera,Smilax aspera
SO AU.AU,,,Sorbus aucuparia
SO VI.VI,,,Solidago virgaurea
SOLA DUL,,,Solanum dulcamara
SOLD CAR,,,Soldanella carpatica
SOLD MON,,,Soldanella montana
SOLI VIR,,,Solidago virgaurea
SORAUST,,,Sorbus austriaca
SORB ARI,,,Sorbus aria
SORB AUC,,,Sorbus aucuparia
SORB DOM,Sorbus,domestica,Sorbus domestica
SORB INT,,,Sorbus intermedia
SORB TOR,,,Sorbus torminalis
STAC OFF,,,Stachys officinalis
STAC PAL,,,Stachys palustris
STAC SYL,,,Stachys sylvatica
STEL ALS,,,Stellaria alsine
STEL GRA,,,Stellaria graminea
STEL MED,,,Stellaria media
STEL NEM,,,Stellaria nemorum
STEL ULI,,,Stellaria uliginosa
STREAMPL,,,Streptopus amplexifolius
SYMTUBE,Symphytum,tuberosum,Symphytum tuberosum
T/OFFICI,,,Taraxacum officinale
TAMU COM,Tamus,communis,Tamus communis
TANA COR,,,Tanacetum corymbosum
TARAXACZ,,,Taraxacum sp.
TAXU BAC,,,Taxus baccata
TEUC CHA,,,Teucrium chamaedrys
TEUC SBI,,,
TEUC SDO,,,Teucrium scorodonia
TEUC SIC,,,
THAL AQU,,,Thalictrum aquilegifolium
THEL LIM,,,Thelypteris limbosperma
THEL PHE,,,Thelypteris phegopteris
