SPECIES,LISTSPE,Family,Genus,sp,Nomenclature,Full Sp Name,Kommentar
CHAM CAL,B4,,,,,Chamaedaphne calyculata,
CHAMSUPI,BX_AT,,,,,CHAMAECYTISUS SUPINUS,
CHLORSTA,BX_AT,,,,,Chlorocrepis staticifolia,
CHRY ALT,B4,,,,,Chrysosplenium alternifolium,
CHRY OPP,B4,,,,,Chrysosplenium oppositifolium,
CICE ALP,B4,,,,,Cicerbita alpina,
CICH INT,B4,,,,,Cichorium intybus,
CIRC ALP,B4,,,,,Circaea alpina,
CIRC LUT,B4,,,,,Circaea lutetiana,
CIRERER,BX_AT,,,,,Cirsium eriophorum ssp. eriophorum,
CIRERIS,BX_AT,,,,,Cirsium erisithales,
CIRS ACA,B4,,,,,Cirsium acaule,
CIRS ARV,B4,,,,,Cirsium arvense,
CIRS HEL,B4,,,,,Cirsium helenioides,
CIRS PAL,B4,,,,,Cirsium palustre,
CIRS VUL,B4,,,,,Cirsium vulgare,
CIRSIUMZ,B4,,,,,CIRSIUM SP.,
CLEM ALP,B4,,,,,Clematis alpina,
CLEM VIT,B4,,,,,Clematis vitalba,
CLIN VUL,B4,,,,,Clinopodium vulgare,
COLC AUT,B4,,,,,Colchicum autumnale,
COLU ARB,B4,,,,,Colutea arborescens,
CONO MAJ,B4,,,,,Conopodium majus,
CONV MAJ,B4,,,,,Convallaria majalis,
CORA TRI,B4,,,,,Corallorhiza trifida,
CORN MAS,B4,,,,,Cornus mas,
CORN SAN,B4,,,,,Cornus sanguinea,
CORN SUE,B4,,,,,Cornus suecica,
CORO EME,B4,,,,,Coronilla emerus,
CORY AVE,B4,,,,,Corylus avellana,
CORY CAV,B4,,,,,Corydalis cava,
COTO INT,B4,,,,,Cotoneaster integerrimus,
COTO TOM,B4,,,,,Cotoneaster tomentosus,
CRASSULZ,B4,,,,,CRASSULA SP.,
CRAT LAE,B4,,,,,Crataegus laevigata,
CRAT MON,B4,,,,,Crataegus monogyna,
CRAT OXY,BX_IT,,,,,Crataegus oxy,Art unbekannt
CREP LEO,BX_IT,Compositae,Crepis,leontodontoides,All.,Crepis leontodontoides,
CREP PAL,B4,,,,,Crepis paludosa,
CRUC GLA,BX_IT,Rubiaceae,Cruciata,glabra,(L.) Ehrend.,Cruciata glabra,
CRUC LAE,B4,,,,,Cruciata laevipes,
CYCL HER,BX_IT,,,,,,Art unbekannt
CYCL REP,BX_IT,Primulaceae,Cyclamen,repandum,Sibth. & Sm.,Cyclamen repandum,
CYCPURP,BX_AT,,,,,Cyclamen purpurascens,
CYST FRA,B4,,,,,Cystopteris fragilis,
CYTI SCO,B4,,,,,Cytisus scoparius,
CYTI SES,BX_IT,Leguminosae,Cytisus,sessilifolius,L.,Cytisus sessilifolius,
DABO CAN,B4,,,,,,Art unbekannt
DACT FUC,B4,,,,,Dactylorhiza fuchsii,
DACT GLO,B4,,,,,Dactylis glomerata,
DACT MAC,B4,,,,,Dactylorhiza maculata,
DACT MAJ,B4,,,,,Dactylorhiza majalis,
DACTYLIZ,B4,,,,,DACTYLIS SP.,
DANT DEC,B4,,,,,Danthonia decumbens,
DAPH LAU,B4,,,,,Daphne laureola,
DAPH MEZ,B4,,,,,Daphne mezereum,
DENENNE,BX_AT,,,,,Dentaria enneaphyllos,
DENGLAN,BX_PO,,,,,Cardamine glandulifera,
DENT BUL,B4,,,,,Dentaria bulbifera,
DESC CES,B4,,,,,Deschampsia cespitosa,
DESC FLE,B4,,,,,Deschampsia flexuosa,
DIANTALP,BX_AT,,,,,Dianthus alpinus,
DIGI GRA,B4,,,,,Digitalis grandiflora,
DIGI LUT,B4,,,,,Digitalis lutea,
DIGI MIC,BX_IT,,,,,,Art unbekannt
DIGI PUR,B4,,,,,Digitalis purpurea,
DORO AUS,B4,,,,,Doronicum austriacum,
DRCAR*AS,BX_AT,,,,,DRYOPTERIS X SARVELAE (D. CART X ASSI),
DROS ANG,B4,,,,,Drosera anglica,
DROS ROT,B4,,,,,Drosera rotundifolia,
DRYO AFF,B4,,,,,Dryopteris affinis,
DRYO ASS,B4,,,,,Dryopteris assimilis,
DRYO BOR,B4,,,,,Dryopteris borreri,
DRYO CAR,B4,,,,,Dryopteris carthusiana,
DRYO DIL,B4,,,,,Dryopteris dilatata,
DRYO EXP,B4,,,,,Dryopteris expansa,
DRYO FIL,B4,,,,,Dryopteris filix-mas,
DRYO PSE,B4,,,,,Dryopteris pseudomas,
ELYM CAI,B4,,,,,Elymus caninus,
EMPE HER,B4,,,,,Empetrum hermaphroditum,
EMPE NIG,B4,,,,,Empetrum nigrum,
EPIL ANG,B4,,,,,Epilobium angustifolium,
EPIL MON,B4,,,,,Epilobium montanum,
EPIL PAR,B4,,,,,Epilobium parviflorum,
EPILOBIZ,B4,,,,,EPILOBIUM SP.,
EPIP ATR,B4,,,,,Epipactis atrorubens,
EPIP HEL,B4,,,,,Epipactis helleborine,
EPIP MIC,B4,,,,,,nicht in B4
EPIP MUE,BX_IT,Orchidaceae,Epipactis,muelleri,Godfery,Epipactis muelleri,
EPIPACTZ,B4,,,,,EPIPACTIS SP.,
EQUI ARV,B4,,,,,Equisetum arvense,
EQUI PAL,B4,,,,,Equisetum palustre,
EQUI SYL,B4,,,,,Equisetum sylvaticum,
ERIC ARB,BX_IT,Ericaceae,Erica,arborea,L.,Erica arborea,
ERIC CIN,B4,,,,,Erica cinerea,
ERIC VAG,B4,,,,,Erica vagans,nicht in B4
ERIHERB,BX_AT,,,,,Erica herbacea,
ERIO ANG,B4,,,,,Eriophorum angustifolium,
ERIO VAG,B4,,,,,Eriophorum vaginatum,
EUON EUR,B4,,,,,Euonymus europaeus,
EUONYVER,BX_AT,,,,,Euonymus verrucosus,
EUPA CAN,B4,,,,,Eupatorium cannabinum,
EUPH AMY,BX_AT,Euphorbiaceae,Euphorbia,amygdaloides,L.,Euphorbia amygdaloides,
EUPH COR,BX_IT,Euphorbiaceae,Euphorbia,corallioides,L.,Euphorbia corallioides,
EUPH CYP,B4,,,,,Euphorbia cyparissias,
EUPH DUL,B4,,,,,Euphorbia dulcis,
EUPH ROS,B4,,,,,Euphrasia rostkoviana,
EUPH SAL,B4,,,,,Euphrasia salisburgensis,
FAGU SYL,B4,,,,,Fagus sylvatica,
FE RU.RU,B4,,,,,Festuca rubra ssp. rubra,
FESAMAM,BX_AT,,,,,Festuca amethystina ssp. amethystina,
FEST ALT,B4,,,,,Festuca altissima,
FEST DRY,BX_IT,Gramineae,Festuca,drymeja,Mert. & Koch,Festuca drymeja,
FEST GIG,B4,,,,,Festuca gigantea,
FEST HET,B4,,,,,Festuca heterophylla,
FEST PRA,B4,,,,,Festuca pratensis,
FEST RUB,B4,,,,,Festuca rubra,
FESTGUEST,BX_AT,,,,,FESTUCA GUESTPHALICA,
FESTRUPI,BX_AT,,,,,FESTUCA RUPICOLA,
FESTUCAZ,B4,,,,,FESTUCA SP.,
FILI ULM,B4,,,,,Filipendula ulmaria,
FISS DUB,BX_AT,,,,,FISSIDENS DUBIUS,
FRAG MOS,B4,,,,,Fragaria moschata,
FRAG VES,B4,,,,,Fragaria vesca,
FRAG VRD,B4,,,,,Fragaria viridis,
FRAN ALN,B4,,,,,Frangula alnus,
FRAX EXC,B4,,,,,Fraxinus excelsior,
FRAX ORN,BX_IT,Oleaceae,Fraxinus,ornus,L.,Fraxinus ornus,
GALE LUT,B4,,,,,Galeobdolon luteum,
GALE SPE,BX_IT,,,,,Galeopsis speciosa,
GALE TET,B4,,,,,Galeopsis tetrahit,
GALEOPSZ,B4,,,,,GALEOPSIS SP.,
GALEPUBE,BX_AT,,,,,GALEOPSIS PUBESCENS,
GALI ALB,B4,,,,,Galium album,
GALI APA,B4,,,,,Galium aparine,
GALI MOL,B4,,,,,Galium mollugo,
GALI ODO,B4,,,,,Galium odoratum,
GALI PAL,B4,,,,,Galium palustre,
GALI ROT,B4,,,,,Galium rotundifolium,
GALI SAX,B4,,,,,Galium saxatile,
GALI SYL,B4,,,,,Galium sylvaticum,
GALI VER,B4,,,,,Galium verum,
GALIUM Z,B4,,,,,GALIUM SP.,
GALLUCI,BX_AT,,,,,Galium lucidum,
GALTRUN,BX_AT,,,,,Galium truniacum,
GENASCL,BX_AT,,,,,Gentiana asclepiadea,
GENCLUS,BX_AT,,,,,Gentiana clusii,
GENI GER,B4,,,,,Genista germanica,
GENI PIL,B4,,,,,Genista pilosa,
GENI TIN,B4,,,,,Genista tinctoria,
GENT PUR,B4,,,,,Gentiana purpurea,
GENTCILI,BX_AT,,,,,GENTIANELLA CILIATA,
GENTIAAZ,B4,,,,,GENTIANA SP.,
GERA NOD,BX_IT,Geraniaceae,Geranium,nodosum,L.,Geranium nodosum,
GERA PHA,BX_IT,,,,,Geranium pha,Art unbekannt
GERA ROB,B4,,,,,Geranium robertianum,
GERA SYL,B4,,,,,Geranium sylvaticum,
GERA VER,BX_IT,Geraniaceae,Geranium,versicolor,L.,Geranium versicolor,
GEUM RIV,B4,,,,,Geum rivale,
GEUM URB,B4,,,,,Geum urbanum,
GOOD REP,B4,,,,,Goodyera repens,
GROD DIK,B4,,,,,,unbekannt
GYMN CON,B4,,,,,Gymnadenia conopsea,
GYMN DRY,B4,,,,,Gymnocarpium dryopteris,
GYMN ROB,B4,,,,,Gymnocarpium robertianum,
HE SP.SP,B4,,,,,Heracleum sphondylium ssp. sphondylium,
HEDE HEL,B4,,,,,Hedera helix,
HELL BOC,BX_IT,Ranunculaceae,Helleborus,bocconei,Ten.,Helleborus bocconei,
HELL FOE,B4,,,,,Helleborus foetidus,
HELL NIG,B4,,,,,Helleborus niger,
HELL VIR,B4,,,,,Helleborus viridis,
HEPA NOB,B4,,,,,Hepatica nobilis,
HERA SPH,B4,,,,,Heracleum sphondylium,
HERAUAU,BX_AT,,,,,Heracleum austriacum ssp. austriacum,
HIEBIFI,BX_AT,,,,,Hieracium bifidum,
HIEPORR,BX_AT,,,,,Hieracium porrifolium,
HIER MUR,B4,,,,,Hieracium murorum,
HIER PRE,BX_IT,Compositae,Hieracium,prenanthoides group,,Hieracium prenanthoides group,
HIER RAC,BX_IT,Compositae,Hieracium,racemosum group,,Hieracium racemosum group,
HIER SYL,B4,,,,,Hieracium sylvaticum,
HIER UMB,B4,,,,,Hieracium umbellatum,
HIER VTM,B4,,,,,Hieracium vulgatum,
HIER/GLAI,BX_AT,,,,,HIERACIUM GLAUCINUM,
HIER/MAC,BX_AT,,,,,HIERACIUM MACULATUM,
HIER/PLA,BX_AT,,,,,HIERACIUM PLATYPHYLLUM (H. RAC - SAB),
HIER/RAC,BX_AT,,,,,HIERACIUM RACEMOSUM,
HIER/SAB,BX_AT,,,,,HIERACIUM SABAUDUM,
HIER/SIL,B4,,,,,Hieracium silvaticiformia,
HIER/VUL,B4,,,,,Hieracium vulgatiformia,
HIERACIZ,B4,,,,,HIERACIUM SP.,
HOLC LAN,B4,,,,,Holcus lanatus,
HOLC MOL,B4,,,,,Holcus mollis,
HOMOALPI,B4,,,,,HOMOGYNE ALPINA,Code in B4 anders
HORD EUR,B4,,,,,Hordelymus europaeus,
HORM PYR,B4,,,,,Horminium pyrenaicum,nicht in B4
HUPE SEL,B4,,,,,Huperzia selago,
HYPE AND,B4,,,,,Hypericum androsaemum,nicht in B4
HYPE HIR,B4,,,,,Hypericum hirsutum,
HYPE MAC,B4,,,,,Hypericum maculatum,
HYPE MON,B4,,,,,Hypericum montanum,
HYPE PER,B4,,,,,Hypericum perforatum,
HYPE PUL,B4,,,,,Hypericum pulchrum,
HYPERICZ,B4,,,,,HYPERICUM SP.,
HYPMAMA,BX_AT,,,,,Hypericum maculatum ssp. maculatum,
HYPPEPE,BX_AT,,,,,Hypericum perforatum ssp. perforatum,
ILEX AQU,B4,,,,,Ilex aquifolium,
IMPA NOL,B4,,,,,Impatiens noli-tangere,
INUL CON,B4,,,,,Inula conyza,
JU CO.CO,B4,,,,,Juniperus communis ssp. communis,
JUGL REG,B4,,,,,Juglans regia,
JUNC ART,B4,,,,,Juncus articulatus,
JUNC EFF,B4,,,,,Juncus effusus,
JUNC FIL,B4,,,,,Juncus filiformis,
JUNC INF,B4,,,,,Juncus inflexus,
JUNC TRI,B4,,,,,Juncus trifidus,"""JUNC TFI"" in B4"
JUNI COM,B4,,,,,Juniperus communis,
KERSAXA,BX_AT,,,,,Kernera saxatilis,
KNADIPS,BX_AT,,,,,Knautia dipsacifolia,
KNAUDRYM,BX_AT,,,,,KNAUTIA DRYMEIA SSP. INTERMEDIA,
LABU ALP,B4,,,,,Laburnum alpinum,
LABU ANA,B4,,,,,Laburnum anagyroides,
LACT ALP,B4,,,,,Lactuca alpina,
LAMI FLE,BX_IT,Labiatae,Lamium,flexuosum,Ten.,Lamium flexuosum,
LAMI GAL,B4,,,,,Lamiastrum galeobdolon,
LAMI MAC,B4,,,,,Lamium maculatum,
LARI DEC,B4,,,,,Larix decidua,
LARI EUR,B4,,,,,Larix * eurolepis,
LASE LAT,B4,,,,,Laserpitium latifolium,
LATH CLA,B4,,,,,,unbekannt
LATH LAT,B4,,,,,Lathyrus latifolius,
LATH LIN,B4,,,,,Lathyrus linifolius,
LATH NIG,B4,,,,,Lathyrus niger,
LATH PRA,B4,,,,,Lathyrus pratensis,
LATH SYL,B4,,,,,Lathyrus sylvestris,
LATH VEN,BX_IT,Leguminosae,Lathyrus,venetus,(Miller) Wohlf.,Lathyrus venetus,
LATH VER,B4,,,,,Lathyrus vernus,
LAUR NOB,BX_IT,Lauraceae,Laurus,nobilis,L.,Laurus nobilis,
LEDU PAL,B4,,,,,Ledum palustre,
LEOINCA,BX_AT,,,,,Leontodon incanus,
LEON HIS,B4,,,,,Leontodon hispidus,
LEUC ALB,B4,,,,,Leucorchis albida,
LEUC VUL,B4,,,,,Leucanthemum vulgare,
LIGU VUL,B4,,,,,Ligustrum vulgare,
LILI BUL,B4,,,,,Lilium bulbiferum,
LILI MAR,B4,,,,,Lilium martagon,
LINA VUL,B4,,,,,Linaria vulgaris,
